Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port
1734259305.184576,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259319.927176,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259320.186179,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259325.000490,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259334.948463,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259335.204479,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259349.948574,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259350.206401,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259355.080770,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259364.932407,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,99,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259365.217790,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259409.933018,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259410.195403,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259415.000491,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259424.933962,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259425.192807,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259439.935116,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259440.194449,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259445.000500,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259455.032284,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259455.291198,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259469.939172,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,99,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259470.210300,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259475.000600,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259484.939539,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259485.197674,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259499.939615,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259500.200857,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259505.000486,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259514.939780,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259515.197621,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259529.939885,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259530.198054,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259535.000594,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259544.939979,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259545.198779,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
